                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3204,                 0.9665,                 1.4375,                  0.752,                0.64146,                0.69159,                0.34833,                 1.7981,                 1.7015,                 1.9809,               0.006733,               0.006733,               0.006733
                     35,                 1.3071,                0.96284,                 1.4103,                0.78576,                0.57692,                0.66635,                0.29555,                 1.9086,                 1.5781,                 2.0272,               0.006634,               0.006634,               0.006634
                     36,                 1.2989,                0.93055,                 1.4002,                0.75127,                0.56149,                0.61854,                0.27261,                 1.9054,                 1.3908,                 2.0795,               0.006535,               0.006535,               0.006535
                     37,                 1.2804,                0.91026,                 1.3888,                 0.7878,                0.65385,                0.70559,                0.36728,                 1.8153,                 1.2514,                 1.9836,               0.006436,               0.006436,               0.006436
                     38,                 1.2732,                0.92462,                 1.3917,                0.76461,                0.60256,                0.69249,                 0.3383,                 1.8606,                 1.2713,                 2.0319,               0.006337,               0.006337,               0.006337
                     39,                 1.2719,                0.90001,                 1.3698,                0.74474,                0.59615,                0.67388,                0.32789,                 1.8062,                 1.3864,                 2.0267,               0.006238,               0.006238,               0.006238
                     40,                 1.2003,                0.85647,                 1.3595,                0.74016,                0.60257,                0.69593,                0.35724,                 1.7768,                 1.5374,                 1.9715,               0.006139,               0.006139,               0.006139
                     41,                  1.216,                0.85344,                 1.3647,                0.81163,                0.57051,                0.70297,                0.36163,                 1.8438,                 1.4479,                 1.9428,                0.00604,                0.00604,                0.00604
                     42,                 1.2303,                0.86349,                  1.355,                0.80888,                0.58333,                  0.693,                0.35181,                  1.776,                  1.291,                 1.9119,               0.005941,               0.005941,               0.005941
                     43,                 1.2024,                0.83997,                 1.3267,                0.76483,                0.64744,                0.71992,                0.35738,                 1.8567,                 1.2954,                 2.0556,               0.005842,               0.005842,               0.005842
                     44,                 1.1587,                0.79538,                 1.3045,                0.83642,                0.66026,                0.74332,                0.36475,                 1.9203,                 1.3538,                 2.1872,               0.005743,               0.005743,               0.005743
                     45,                 1.1864,                0.85838,                 1.3343,                0.74846,                0.62944,                0.69332,                0.34584,                 2.0318,                 1.1993,                  2.186,               0.005644,               0.005644,               0.005644
                     46,                 1.1944,                 0.8261,                 1.3503,                0.81737,                0.61538,                0.71087,                0.34503,                 1.9189,                 1.2544,                   2.18,               0.005545,               0.005545,               0.005545
                     47,                 1.1339,                0.79669,                 1.3081,                0.73173,                0.66667,                0.68531,                0.34129,                 1.8999,                 1.2519,                 2.2579,               0.005446,               0.005446,               0.005446
                     48,                 1.1573,                0.76432,                 1.3087,                0.79624,                0.60256,                0.70013,                0.37208,                 1.9166,                 1.2537,                 2.0323,               0.005347,               0.005347,               0.005347
                     49,                 1.1027,                0.75503,                  1.264,                0.76613,                  0.651,                0.71627,                0.37584,                 1.8749,                 1.2449,                  2.023,               0.005248,               0.005248,               0.005248
                     50,                 1.1289,                0.76861,                  1.302,                0.83977,                0.60897,                 0.7362,                0.37891,                 1.9935,                 1.2108,                 2.1361,               0.005149,               0.005149,               0.005149
                     51,                 1.0824,                 0.7396,                  1.255,                0.82419,                0.66115,                0.71431,                0.35856,                 1.9573,                 1.2316,                 2.1351,                0.00505,                0.00505,                0.00505
                     52,                 1.0541,                0.72844,                 1.2404,                0.84057,                0.64217,                0.71883,                0.36716,                 1.9113,                 1.2709,                 2.0968,               0.004951,               0.004951,               0.004951
                     53,                 1.0454,                0.68923,                 1.2326,                0.82075,                0.65385,                0.72337,                 0.3673,                 1.9512,                 1.3151,                  2.285,               0.004852,               0.004852,               0.004852
                     54,                 1.0785,                0.72925,                 1.2715,                0.81416,                0.64591,                0.72259,                0.36887,                 1.9246,                 1.2965,                 2.2142,               0.004753,               0.004753,               0.004753
                     55,                  1.069,                0.71681,                 1.2636,                0.80733,                0.62821,                0.70109,                0.34655,                 1.8836,                 1.2419,                 2.2237,               0.004654,               0.004654,               0.004654
                     56,                 1.0145,                0.68248,                 1.2135,                0.74984,                0.66026,                0.69648,                0.34083,                  1.881,                 1.3287,                 2.1407,               0.004555,               0.004555,               0.004555
                     57,                 1.0427,                0.69134,                 1.2304,                0.69049,                0.65785,                0.67281,                0.34424,                 1.9432,                 1.2829,                 2.0938,               0.004456,               0.004456,               0.004456
                     58,                 1.0191,                0.64562,                 1.2211,                0.69646,                0.66188,                0.67177,                0.33448,                  1.894,                 1.2636,                 2.1217,               0.004357,               0.004357,               0.004357
                     59,                0.98564,                0.64273,                 1.2156,                0.75825,                 0.7037,                 0.7043,                0.35028,                 1.9524,                 1.2541,                 2.2471,               0.004258,               0.004258,               0.004258
                     60,                 1.0108,                0.66755,                 1.2157,                0.79612,                0.67308,                0.72356,                0.36657,                 2.1085,                 1.2364,                 2.5105,               0.004159,               0.004159,               0.004159
                     61,                 1.0019,                0.65801,                  1.221,                0.71439,                0.68945,                0.70908,                0.34885,                 2.2193,                 1.2366,                 2.5559,                0.00406,                0.00406,                0.00406
                     62,                0.98133,                0.63281,                 1.1846,                0.77694,                0.62518,                0.72608,                0.35923,                 1.9728,                 1.3712,                 2.1971,               0.003961,               0.003961,               0.003961
                     63,                0.96304,                0.63283,                 1.1956,                0.79407,                0.60897,                 0.7138,                0.35101,                 2.0678,                 1.4813,                 2.3345,               0.003862,               0.003862,               0.003862
                     64,                0.97905,                0.63144,                 1.1841,                0.79421,                0.66026,                0.71949,                0.35755,                 2.1791,                 1.6053,                 2.4377,               0.003763,               0.003763,               0.003763
                     65,                0.94491,                0.60738,                 1.1607,                0.78754,                0.64158,                0.68235,                0.33192,                 2.0681,                 1.4248,                 2.3924,               0.003664,               0.003664,               0.003664
                     66,                0.92313,                0.60196,                 1.1509,                0.75066,                0.69477,                0.73316,                 0.3759,                 1.9797,                 1.3598,                 2.4224,               0.003565,               0.003565,               0.003565
                     67,                0.91882,                0.58457,                 1.1686,                0.84438,                0.64103,                0.74106,                0.38264,                  1.935,                 1.3215,                 2.3231,               0.003466,               0.003466,               0.003466
                     68,                0.93124,                0.59887,                 1.1647,                0.78984,                0.64744,                 0.7313,                0.38224,                 1.9845,                 1.2769,                 2.2774,               0.003367,               0.003367,               0.003367
                     69,                0.88229,                0.57076,                 1.1581,                0.77296,                0.64103,                0.72471,                0.37925,                 1.8882,                 1.2718,                 2.2699,               0.003268,               0.003268,               0.003268
                     70,                0.92787,                0.59703,                 1.1752,                0.80101,                0.60256,                0.71405,                0.35788,                 1.9305,                 1.4438,                 2.2352,               0.003169,               0.003169,               0.003169
                     71,                 0.9062,                0.56542,                 1.1538,                0.76189,                0.67689,                0.71432,                0.36119,                 2.0871,                 1.2647,                 2.3584,                0.00307,                0.00307,                0.00307
                     72,                0.86579,                0.54747,                 1.1298,                0.75039,                0.65385,                0.69883,                0.36354,                 1.8496,                 1.2524,                 2.1409,               0.002971,               0.002971,               0.002971
                     73,                0.84316,                0.53576,                 1.1297,                0.79098,                0.64744,                 0.7198,                0.37546,                 1.8816,                 1.1805,                 2.1951,               0.002872,               0.002872,               0.002872
                     74,                0.84621,                0.54302,                  1.138,                0.74491,                0.71132,                0.73333,                0.37429,                 1.8453,                 1.1818,                 2.1664,               0.002773,               0.002773,               0.002773
                     75,                0.87047,                0.53839,                  1.128,                0.79889,                0.65385,                0.71752,                0.37083,                 1.7999,                 1.2065,                 2.0996,               0.002674,               0.002674,               0.002674
                     76,                 0.8321,                0.52411,                 1.1082,                0.83024,                0.65837,                0.73724,                 0.3755,                 1.8456,                 1.1396,                 2.1145,               0.002575,               0.002575,               0.002575
                     77,                0.82257,                0.51913,                 1.1007,                0.74584,                0.73077,                0.75949,                0.39785,                 1.9305,                 1.1938,                 2.2218,               0.002476,               0.002476,               0.002476
                     78,                0.81208,                0.51911,                 1.1139,                0.89317,                0.63462,                0.75165,                0.39007,                 1.9343,                 1.1052,                 2.2954,               0.002377,               0.002377,               0.002377
                     79,                0.79437,                0.49603,                 1.1069,                 0.8658,                0.60897,                0.73772,                0.38334,                 2.0972,                 1.2838,                  2.347,               0.002278,               0.002278,               0.002278
                     80,                0.77534,                0.49087,                 1.0711,                0.78705,                 0.6859,                0.74574,                0.38424,                 2.0789,                 1.2557,                  2.444,               0.002179,               0.002179,               0.002179
                     81,                0.79499,                 0.4944,                 1.0775,                0.72848,                0.71154,                0.74811,                0.39342,                 2.0078,                 1.1732,                 2.3558,                0.00208,                0.00208,                0.00208
                     82,                0.77203,                0.49248,                 1.0836,                0.79442,                 0.6859,                0.76331,                 0.3956,                 1.9559,                 1.2471,                 2.3284,               0.001981,               0.001981,               0.001981
                     83,                0.75772,                0.47879,                 1.0721,                 0.7969,                0.67308,                0.75743,                0.40642,                 1.9083,                 1.2562,                 2.2995,               0.001882,               0.001882,               0.001882
